"Company","Part","p","d","q"
"Microsoft","1","0","0.276647747013202","0"
"Oracle","1","0","0.307102455075832","0"
"Exxon","1","0","0.372413440124822","0"
"General Motors","1","0","0.247258558507353","0"
"IBM","1","0","0.254798621446411","0"
"Facebook","1","0","0.310818844273418","0"
"Chevron","1","0","0.355200614073327","0"
"Apple","1","0","0.241261587837078","0"
"Alibaba","1","0","0.337732919281832","0"
"PG","1","0","0.243159350133252","0"
"Pfizer","1","0","0.286301793938886","0"
"Johnson","1","0","0.235389944462754","0"
"Disney","1","0","0.31610747890908","0"
"Wells Fargo","1","0","0.277160181941382","0"
"JP Morgan","1","0","0.252124661042374","0"
"Walmart","1","0","0.288933827605488","0"
"Intel","1","0","0.33257120845978","0"
"Bank of America","1","0","0.260294293997096","0"
"Verizon","1","0","0.228036825914873","0"
"ATT","1","0","0.227812039220304","0"
"Home Depot","1","0","0.316134065274242","0"
"Citi","1","0","0.247847791689005","0"
"Amazon","1","0","0.292915721990877","0"
"China Mobile","1","0","0.296566013578095","0"
"Taiwan Semiconductors","1","0","0.214531985421815","0"
"Novartis","1","0","0.277830249338526","0"
"Netflix","1","0","0.303033145561154","0"
"Visa","1","0","0.282155026562951","0"
"United Health","1","0","0.282385585846312","0"
"Busch","1","0","0.251696072251675","0"
"Microsoft","2","0","0.396322856938432","0"
"Oracle","2","0","0.327900294797575","0"
"Exxon","2","0.665237967434795","0.252897845789515","0.59363975911456"
"General Motors","2","0","0.286037894212414","0"
"IBM","2","0","0.350482840112718","0"
"Facebook","2","0","0.349493249326457","0"
"Chevron","2","0.738471284148332","0.239678494026091","0.677446217280634"
"Apple","2","0","0.350428787285349","0"
"Alibaba","2","0","0.304153111269484","0"
"PG","2","0","0.286358377906661","0"
"Pfizer","2","0","0.366366970212015","0"
"Johnson","2","0","0.277326928292937","0"
"Disney","2","0","0.313803529670772","0"
"Wells Fargo","2","0","0.310967359166151","0"
"JP Morgan","2","0","0.28685615987125","0"
"Walmart","2","0","0.308893316053788","0"
"Intel","2","0","0.291704167146677","0"
"Bank of America","2","0","0.318436131527034","0"
"Verizon","2","0","0.307528086207801","0"
"ATT","2","0","0.33904990890037","0"
"Home Depot","2","0","0.304735459685968","0"
"Citi","2","0","0.273630992506947","0"
"Amazon","2","0.942808938331203","0.319646986443973","0.877579606313475"
"China Mobile","2","0","0.264556741972736","0"
"Taiwan Semiconductors","2","0","0.284799983220817","0"
"Novartis","2","0","0.330483370661544","0"
"Netflix","2","0","0.321564147536592","0"
"Visa","2","0","0.366734789544696","0"
"United Health","2","0","0.316503985823112","0"
"Busch","2","0","0.25855074099083","0"
